year,min_to_midnight,sec_to_midnight,time,change_min,change_sec
1947,7,420,23:53,,
1949,3,180,23:57,-4,-240
1953,2,120,23:58,-1,-60
1960,7,420,23:53,5,300
1963,12,720,23:48,5,300
1968,7,420,23:53,-5,-300
1969,10,600,23:50,3,180
1972,12,720,23:48,2,120
1974,9,540,23:51,-3,-180
1980,7,420,23:53,-2,-120
1981,4,240,23:56,-3,-180
1984,3,180,23:57,-1,-60
1988,6,360,23:54,3,180
1990,10,600,23:50,4,240
1991,17,1020,23:43,7,420
1995,14,840,23:46,-3,-180
1998,9,540,23:51,-5,-300
2002,7,420,23:53,-2,-120
2007,5,300,23:55,-2,-120
2010,6,360,23:54,1,60
2012,5,300,23:55,-1,-60
2015,3,180,23:57,-2,-120
2017,2.5,150,23:57:30,-0.5,-30
2018,2,120,23:58,-0.5,-30
2020,1.67,100,23:58:20,-0.33,-20
2023,1.5,90,23:58:30,-0.17,-10
2025,1.48,89,23:58:31,-0.02,-1
2026,1.42,85,23:58:35,-0.06,-4
